'y-axis saved as y
'x,TrBiI4_pure_ground_exported.raw_1,Diff,Ycalc
11.7450851,227,-8.80089834,235.800898
11.7655204,208,-26.750317,234.750317
11.7859557,221,-12.7254819,233.725482
11.806391,258,25.3003833,232.699617
11.8268264,227,-4.68579716,231.685797
11.8472617,225,-5.69668895,230.696689
11.867697,221,-8.74136004,229.74136
11.8881323,234,5.16364429,228.836356
11.9085676,239,10.9879724,228.012028
11.9290029,209,-18.319993,227.319993
11.9494383,220,-6.84461959,226.84462
11.9698736,237,10.2756913,226.724309
11.9903089,210,-17.1946079,227.194608
12.0107442,260,31.3442209,228.655779
12.0311795,226,-5.72642959,231.72643
12.0516148,233,-4.55360679,237.553607
12.0720502,220,-28.3903081,248.390308
12.0924855,230,-35.4647125,265.464712
12.1129208,235,-44.8746316,279.874632
12.1333561,249,-22.5074312,271.507431
12.1537914,225,-25.4137742,250.413774
12.1742267,224,-7.07948084,231.079481
12.1946621,259,37.9452196,221.05478
12.2150974,239,21.9821258,217.017874
12.2355327,229,14.1452689,214.854731
12.255968,213,-0.329051626,213.329052
12.2764033,239,26.9000206,212.099979
12.2968386,208,-3.03765277,211.037653
12.317274,226,15.9176061,210.082394
12.3377093,223,13.7959835,209.204017
12.3581446,227,18.6134482,208.386552
12.3785799,225,17.3783235,207.621676
12.3990152,194,-12.9056162,206.905616
12.4194505,224,17.7624046,206.237595
12.4398859,197,-8.61902877,205.619029
12.4603212,205,-0.0530455665,205.053046
12.4807565,244,39.4561229,204.543877
12.5011918,248,43.9042159,204.095784
12.5216271,206,2.28379771,203.716202
12.5420624,202,-1.43781565,203.437816
12.5624978,201,-2.28937058,203.289371
12.5829331,229,25.7220472,203.277953
12.6033684,222,18.5685419,203.431458
12.6238037,219,15.2065137,203.793486
12.644239,219,14.5513864,204.448614
12.6646743,224,18.4968561,205.503144
12.6851097,198,-9.08325231,207.083252
12.705545,218,8.59402892,209.405971
12.7259803,221,8.1851193,212.814881
12.7464156,204,-13.8459603,217.84596
12.7668509,256,30.6757233,225.324277
12.7872862,306,69.4937045,236.506296
12.8077216,276,22.7055219,253.294478
12.8281569,291,12.4639151,278.536085
12.8485922,319,2.70963042,316.29037
12.8690275,354,-17.4403659,371.440366
12.8894628,421,-25.5961592,446.596159
12.9098981,561,28.531306,532.468694
12.9303335,581,-14.1233588,595.123359
12.9507688,566,-25.1667686,591.166769
12.9712041,472,-48.2983583,520.298358
12.9916394,387,-36.6862466,423.686247
13.0120747,316,-23.7853282,339.785328
13.03251,261,-22.4831991,283.483199
13.0529454,264,14.5670476,249.432952
13.0733807,241,12.3577766,228.642223
13.093816,226,10.7800454,215.219955
13.1142513,223,16.9987218,206.001278
13.1346866,191,-8.32143456,199.321435
13.1551219,211,16.7345308,194.265469
13.1755573,211,20.7017131,190.298287
13.1959926,218,30.910836,187.089164
13.2164279,172,-12.4247325,184.424732
13.2368632,205,22.8372592,182.162741
13.2572985,194,13.7938566,180.206143
13.2777338,193,14.5116691,178.488331
13.2981692,252,75.0345645,176.965435
13.3186045,215,39.3840765,175.615923
13.3390398,201,26.5455771,174.454423
13.3594751,196,22.4852031,173.514797
13.3799104,188,15.3820537,172.617946
13.4003457,189,17.3492693,171.650731
13.4207811,172,1.26364314,170.736357
13.4412164,172,2.11532912,169.884671
13.4616517,186,16.9038224,169.096178
13.482087,206,37.6210667,168.378933
